ID_CUAD;PRESENCE;BREEDING;FOREST;BROADLEAVED;ECOTONES;HUMANPOP;URBAN;RUG
14846;0;0;13.55;0;0;330.75;0.07;57.36
14938;0;0;32;0;10.11;540.2;0.03;22.55
15551;0;0;13.02;0;0;196.33;0.08;49.27
15925;0;0;43.32;0.14;0;152.27;0.06;233.13
15943;0;0;20.54;0.2;0;171.79;0.07;120.3
15825;0;0;58.43;0.11;5.51;64;0.05;131.37
16228;0;0;29.76;0.65;0.63;166.96;0.1;112.17
15687;0;0;43.34;0.49;0;146.03;0.07;108.85
16481;0;0;32.87;0.1;0.87;139.96;0.05;143.49
15523;0;0;26.86;0.49;0;147.51;0.1;113.87
15387;0;0;20.77;0.42;0;156.93;0.07;92.17
14932;0;0;20.96;0.99;0;628.79;0.07;36.72
14709;0;0;13.96;0;0;168.93;0.07;39.89
16213;0;0;29.06;0.23;0;255.93;0.09;185.69
14519;0;0;30.83;0.04;0.71;897.75;0.04;28.62
15688;0;0;36.69;0.9;0.12;161.57;0.07;97.04
16506;0;0;53.47;0.35;5.22;63.24;0.08;158.29
15941;0;0;22.86;0;0;138.55;0.07;128.1
16492;0;0;45.26;0.23;0.99;236.37;0.07;215.85
15268;0;0;23.01;0.45;0;114.86;0.08;86.36
15527;0;0;19.62;0.28;0.27;123.89;0.07;97.68
15914;0;0;41.37;0;0;426.68;0.05;240.81
16770;0;0;56.07;0;0;104.65;0.06;251.94
15209;0;0;10.65;0.77;0.04;494.75;0.11;37.64
16771;0;0;60.96;0.17;1.27;149.17;0.06;253.03
15644;0;0;32.87;0.32;0;191.06;0.08;175.27
15367;0;0;18.59;0.6;0.83;316.1;0.1;102.64
15535;0;0;26.27;0.03;0;157.1;0.09;117.18
15113;0;0;22.27;0.89;0.3;179.37;0.09;84.03
15682;0;0;41.64;0.29;0;67.24;0.05;128.59
16055;0;0;42.83;0;0;220.62;0.06;258.91
16237;0;0;41.98;0.83;0.58;124.62;0.07;139.15
14943;0;0;20.97;0.64;0.19;431.1;0.06;27.11
15219;0;0;14.16;1;0;494.79;0.07;35.8
14804;0;0;23.66;0.000810491;0.26;568.06;0.05;29.34
16501;0;0;65.15;0.16;4.16;49.48;0.06;190.81
15116;0;0;23.22;0.43;0;145.68;0.07;89.25
15909;0;0;29.54;0.37;0;293.66;0.06;153.07
16093;0;0;19.89;0;0;211.41;0.08;86.63
15272;0;0;9.19;0;0;182.62;0.08;37.07
14952;0;0;6.43;0.43;0.51;988.48;0.09;61.42
16073;0;0;30.57;0.02;0;154.93;0.08;210.79
15636;0;0;26.87;0;0;518.37;0.06;153.87
16514;0;0;39.74;0.42;1.33;118.17;0.07;136.64
14800;0;0;36.18;0.01;8.21;749.62;0.03;24.69
15521;0;0;29.83;0;0;129.34;0.09;115.89
14801;0;0;33.43;0;2.18;777.89;0.03;23.19
15792;0;0;30.68;0.11;0;130.1;0.08;202.98
16902;0;0;38.51;0;4.13;135;0.08;184.72
16355;0;0;37.62;0.22;0;242.51;0.08;183.03
15946;0;0;22.1;0.05;0;190.55;0.09;109.22
15810;0;0;19.83;0.48;0.54;187.86;0.11;88.89
15124;0;0;16.01;0.85;0;253.96;0.07;83.98
16216;0;0;29.34;0.12;0;252.24;0.08;160.22
15794;0;0;30.22;0.03;0;138.82;0.09;191.07
15522;0;0;27.57;0.35;0;122.44;0.1;114.89
14664;0;0;29.87;0.14;2.9;968.79;0.03;26.83
15255;0;0;24.9;0;0;132.03;0.07;99.89
16199;0;0;53.28;0.05;4.47;98.44;0.03;259.37
15681;0;0;37.91;0.72;0;81.48;0.05;121.2
14957;0;0;14.76;0.28;0.58;546.41;0.1;39.1
16624;0;0;46.3;0.00645434;3.15;136.31;0.06;206.25
15214;0;0;19.08;0;0;470.1;0.05;24.91
15529;0;0;22.72;0.49;0;145.13;0.09;103.83
